iter	Passed	Remaining
400	64963	97040
401	66335	98678
402	66396	98358
403	67066	98940
404	67173	98686
405	67855	99276
406	68136	99275
407	68758	99766
408	68858	99499
409	69597	100152
410	70128	100501
411	70155	100124
412	70296	99912
413	70354	99584
414	70380	99210
415	70921	99562
416	70960	99209
417	71395	99407
418	71983	99815
419	72065	99518
420	72765	100073
421	72897	99845
422	73509	100271
423	73575	99951
424	74247	100451
425	74287	100096
426	75007	100654
427	75059	100312
428	76689	102073
429	76733	101716
430	77965	102929
431	78045	102615
432	79455	104044
433	79656	103884
434	81378	105698
435	81425	105330
436	82529	106324
437	82560	105933
438	83251	106387
439	83385	106126
440	83446	105774
441	83513	105431
442	83648	105174
443	83707	104822
444	84365	105219
445	84411	104852
446	85230	105442
447	85296	105097
448	85431	104839
449	85489	104487
450	85536	104123
451	86288	104615
452	86348	104266
453	86839	104436
454	86893	104081
455	87331	104184
456	87528	103999
457	88000	104140
458	88086	103822
459	88751	104186
460	89125	104204
461	89146	103811
462	89166	103417
463	89588	103490
464	89615	103105
465	89926	103048
466	89945	102657
467	90587	102975
468	90636	102618
469	90665	102239
470	91137	102360
471	91477	102331
472	91793	102272
473	92327	102456
474	92394	102120
475	93682	103128
476	93794	102839
477	94447	103141
478	94547	102838
479	94884	102791
480	94947	102448
481	95488	102620
482	95556	102283
483	96048	102399
484	96130	102076
485	96459	102016
486	96511	101663
487	96902	101668
488	96963	101325
489	97243	101213
490	97298	100865
491	97525	100696
492	97541	100311
493	97829	100205
494	97884	99861
495	98227	99811
496	98268	99455
497	98723	99516
498	98791	99187
499	99242	99242
500	99337	98941
501	99764	98969
502	99799	98608
503	100418	98824
504	100481	98491
505	100977	98582
506	100995	98206
507	101483	98287
508	101668	98073
509	102241	98232
510	102731	98309
511	102772	97955
512	103186	97956
513	103234	97610
514	103485	97457
515	103538	97117
516	104537	97662
517	104712	97435
518	105457	97735
519	105520	97403
520	106251	97685
521	106330	97367
522	107636	98169
523	107667	97805
524	108061	97769
525	108119	97430
526	108459	97345
527	108533	97022
528	108825	96893
529	108875	96550
530	109016	96287
531	109066	95945
532	109107	95597
533	109210	95303
534	109274	94977
535	109428	94729
536	109495	94406
537	109617	94132
538	109664	93795
539	109762	93501
540	109840	93192
541	110016	92965
542	110096	92659
543	110236	92404
544	110270	92060
545	110444	91835
546	110466	91483
547	110631	91250
548	110652	90900
549	110810	90663
550	110851	90330
551	111671	90632
552	111729	90313
553	111874	90064
554	111948	89760
555	112190	89591
556	112237	89266
557	113145	89624
558	113207	89310
559	113545	89214
560	113588	88886
561	113604	88538
562	113851	88371
563	113922	88067
564	114106	87852
565	114136	87517
566	115041	87853
567	115124	87559
568	115499	87487
569	115527	87152
570	115797	87000
571	115829	86669
572	116152	86556
573	116193	86234
574	116272	85940
575	116303	85612
576	116346	85293
577	116390	84977
578	116503	84711
579	116541	84391
580	116788	84224
581	116833	83911
582	116974	83667
583	117048	83376
584	117255	83181
585	117306	82874
586	117551	82706
587	117597	82398
588	117832	82222
589	117851	81896
590	118019	81674
591	118069	81372
592	118262	81168
593	118281	80845
594	118444	80621
595	118494	80321
596	118648	80092
597	118698	79794
598	118848	79563
599	118885	79256
600	119179	79122
601	119225	78823
602	119373	78592
603	119394	78278
604	119508	78026
605	119530	77714
606	119670	77479
607	119719	77187
608	119862	76955
609	119896	76655
610	119912	76343
611	120013	76087
612	120058	75795
613	120173	75548
614	120200	75247
615	120274	74976
616	120302	74677
617	120386	74413
618	120420	74119
619	120437	73816
620	120607	73607
621	120768	73393
622	120904	73163
623	120958	72884
624	121099	72659
625	121137	72372
626	121189	72094
627	121223	71807
628	121321	71558
629	121376	71284
630	121490	71046
631	121554	70778
632	121690	70553
633	121711	70262
634	121844	70036
635	121866	69747
636	121968	69504
637	122077	69266
638	122096	68977
639	122212	68744
640	122245	68465
641	122358	68231
642	122411	67964
643	122537	67737
644	122578	67465
645	122621	67194
646	122656	66921
647	122727	66666
648	122757	66391
649	122804	66125
650	122859	65864
651	122964	65631
652	123055	65391
653	123088	65120
654	123135	64857
655	123166	64587
656	123212	64325
657	123277	64074
658	123297	63800
659	123541	63642
660	123580	63379
661	123664	63139
662	123700	62876
663	123779	62635
664	123895	62413
665	123933	62152
666	124016	61915
667	124060	61658
668	124128	61414
669	124155	61151
670	124242	60917
671	124264	60652
672	124290	60390
673	124444	60191
674	124459	59925
675	124543	59692
676	124565	59430
677	124641	59195
678	124679	58942
679	124808	58733
680	124874	58494
681	125050	58307
682	125076	58051
683	125198	57840
684	125221	57583
685	125271	57339
686	125318	57095
687	125400	56867
688	125424	56614
689	125463	56367
690	125576	56155
691	125694	55944
692	125736	55701
693	125787	55462
694	125825	55218
695	125866	54976
696	125923	54741
697	125950	54494
698	126003	54259
699	126053	54022
700	126102	53786
701	126133	53543
702	126181	53308
703	126201	53062
704	126227	52818
705	126284	52588
706	126293	52339
707	126340	52106
708	126383	51872
709	126403	51629
710	126473	51407
711	126508	51171
712	126527	50930
713	126553	50692
714	126570	50451
715	126587	50210
716	126629	49980
717	126647	49741
718	126660	49501
719	126748	49290
720	126786	49061
721	126808	48826
722	126844	48597
723	126856	48359
724	126874	48124
725	126905	47895
726	126923	47661
727	126947	47430
728	126965	47198
729	126982	46966
730	127015	46740
731	127029	46508
732	127050	46278
733	127065	46048
734	127095	45823
735	127115	45595
736	127210	45395
737	127237	45170
738	127258	44945
739	127303	44728
740	127321	44502
741	127354	44282
742	127371	44057
743	127381	43830
744	127414	43611
745	127434	43389
746	127466	43171
747	127480	42947
748	127496	42725
749	127524	42508
750	127544	42288
751	127559	42067
752	127579	41848
753	127605	41632
754	127636	41418
755	127658	41201
756	127685	40987
757	127705	40771
758	127737	40559
759	127764	40346
760	127778	40130
761	127794	39914
762	127842	39709
763	127859	39495
764	127873	39281
765	127891	39068
766	128008	38886
767	128123	38703
768	128152	38495
769	128184	38289
770	128298	38106
771	128316	37896
772	128380	37700
773	128401	37492
774	128536	37317
775	128574	37114
776	128696	36936
777	128737	36734
778	129136	36635
779	129184	36436
780	129214	36233
781	129347	36058
782	129366	35852
783	129545	35691
784	129623	35501
785	129873	35359
786	129889	35154
787	129901	34948
788	130111	34795
789	130130	34591
790	130352	34442
791	130376	34240
792	130576	34084
793	130602	33884
794	130826	33735
795	130858	33536
796	130885	33337
797	130907	33136
798	130943	32940
799	131361	32840
800	131398	32644
801	131628	32496
802	131647	32297
803	131951	32167
804	132008	31977
805	132208	31821
806	132256	31630
807	132479	31480
808	132527	31288
809	132557	31093
810	132587	30898
811	132646	30711
812	132848	30556
813	132875	30362
814	133062	30204
815	133107	30014
816	133381	29876
817	133416	29684
818	133435	29489
819	133588	29324
820	133622	29133
821	133851	28984
822	133881	28793
823	134003	28622
824	134027	28430
825	134124	28253
826	134144	28061
827	134214	27880
828	134229	27687
829	134320	27511
830	134347	27322
831	134470	27152
832	134507	26966
833	134527	26776
834	134656	26608
835	134715	26427
836	134784	26248
837	134814	26062
838	134849	25876
839	134886	25692
840	134924	25508
841	134974	25327
842	135030	25148
843	135048	24961
844	135105	24782
845	135201	24611
846	135222	24426
847	135314	24254
848	135369	24076
849	135422	23898
850	135442	23714
851	135516	23540
852	135538	23357
853	135687	23197
854	135720	23016
855	135746	22835
856	135781	22656
857	135798	22474
858	135883	22304
859	135917	22126
860	135962	21949
861	135984	21770
862	136042	21596
863	136107	21424
864	136169	21251
865	136222	21078
866	136331	20913
867	136355	20736
868	136395	20561
869	136447	20388
870	136473	20212
871	136505	20037
872	136596	19871
873	136615	19695
874	136717	19531
875	136745	19356
876	136866	19195
877	136912	19024
878	137045	18865
879	137088	18693
880	137220	18534
881	137239	18360
882	137287	18191
883	137384	18027
884	137415	17856
885	137497	17691
886	137544	17522
887	137629	17358
888	137677	17190
889	137729	17022
890	137747	16851
891	137824	16687
892	137845	16516
893	137883	16348
894	137933	16182
895	137950	16012
896	138036	15850
897	138079	15683
898	138163	15522
899	138197	15355
900	138274	15193
901	138312	15027
902	138391	14865
903	138412	14698
904	138487	14537
905	138509	14370
906	138558	14207
907	138578	14040
908	138625	13877
909	138665	13714
910	138687	13549
911	138770	13390
912	138813	13227
913	138888	13068
914	138916	12904
915	139047	12751
916	139084	12588
917	139118	12426
918	139175	12266
919	139253	12108
920	139320	11950
921	139353	11789
922	139387	11628
923	139419	11467
924	139452	11306
925	139492	11147
926	139527	10987
927	139551	10827
928	139601	10669
929	139681	10513
930	139731	10356
931	139829	10202
932	139849	10042
933	139924	9887
934	139963	9730
935	140141	9582
936	140165	9424
937	140192	9266
938	140251	9111
939	140316	8956
940	140396	8802
941	140448	8647
942	140509	8493
943	140556	8338
944	140587	8182
945	140627	8027
946	140663	7872
947	140726	7719
948	140745	7563
949	140780	7409
950	140823	7255
951	140920	7105
952	140986	6953
953	141022	6799
954	141119	6649
955	141143	6496
956	141175	6343
957	141258	6192
958	141289	6040
959	141396	5891
960	141438	5739
961	141511	5589
962	141620	5441
963	141634	5289
964	141660	5137
965	141721	4988
966	141731	4836
967	141887	4690
968	141914	4540
969	142102	4394
970	142135	4245
971	142402	4102
972	142426	3952
973	142551	3805
974	142568	3655
975	142609	3506
976	142860	3363
977	142880	3214
978	142979	3066
979	143004	2918
980	143141	2772
981	143208	2625
982	143346	2479
983	143393	2331
984	143526	2185
985	143600	2038
986	143802	1894
987	143826	1746
988	143990	1601
989	144032	1454
990	144150	1309
991	144168	1162
992	144303	1017
993	144351	871
994	144595	726
995	144618	580
996	144636	435
997	144665	289
998	144833	144
999	144861	0
